Flavanoids,OD280/OD315 of diluted wines,Total phenols,Proline,Hue,Alcalinity,Proanthocyanins,Nonflavanoid phenols,Malic acid,Alcohol,Color intensity,Magnesium,Ash,Class
0.99,2.26,1.6,625,0.95,21.5,1.56,0.14,2.12,11.81,2.5,134,2.74,2
2.5,2.74,2.55,428,1.23,16,1.77,0.29,1.41,12.29,2.9,85,1.98,2
3.75,2.77,3.52,660,1.04,18.5,1.95,0.24,1.07,12.37,4.5,88,2.1,2
2.99,2.83,2.85,406,1.42,18,2.81,0.45,3.17,12.29,2.3,88,2.21,2
2.17,2.96,2.23,710,1.27,17.5,1.4,0.26,2.08,12.08,3.3,97,1.7,2
1.36,2.77,1.45,562,1.04,18.5,1.35,0.29,1.34,12.6,2.45,88,1.9,2
2.11,3.38,2.56,438,0.8,21,1.31,0.34,2.45,12.34,2.8,98,2.46,2
1.64,2.44,2.5,415,0.94,19.5,1.42,0.37,1.72,11.82,2.06,86,1.88,2
1.92,3.57,2.2,672,1.04,20.5,1.48,0.32,1.73,12.51,2.94,85,1.98,2
1.84,3.3,1.68,315,0.86,22,1.42,0.66,2.55,12.42,2.7,90,2.27,2
2.03,3.17,1.65,510,1,19,1.63,0.37,1.73,12.25,3.4,80,2.12,2
1.76,2.42,1.38,488,0.88,22.5,1.63,0.48,1.75,12.72,3.3,84,2.28,2
2.04,3.02,2.36,312,0.86,19,2.08,0.39,1.29,12.22,2.7,92,1.94,2
2.92,3.26,2.74,680,0.96,20,2.49,0.29,1.35,11.61,2.65,94,2.7,2
2.58,2.81,3.18,562,0.75,19.5,3.58,0.24,3.74,11.46,2.9,107,1.82,2
2.27,2.78,2.55,325,0.9,21,1.22,0.26,2.43,12.52,2,88,2.17,2
2.03,2.5,1.75,607,1.23,20,1.05,0.6,2.68,11.76,3.8,103,2.92,2
2.01,2.31,2.48,434,1.1,21,1.44,0.42,0.74,11.41,3.08,88,2.5,2
2.29,3.19,2.56,385,0.93,22.5,1.04,0.43,1.39,12.08,2.9,84,2.5,2
2.17,2.87,2.46,407,1.71,21.5,2.01,0.52,1.51,11.03,1.9,85,2.2,2
1.6,3.33,1.98,495,0.95,20.8,1.53,0.3,1.47,11.82,1.95,86,1.99,2
2.09,2.96,2,345,1.06,22.5,1.61,0.34,1.61,12.42,2.06,108,2.19,2
1.25,2.12,1.63,372,0.7,16,0.83,0.43,3.43,12.77,3.4,80,1.98,2
1.64,3.05,2,564,0.93,19,1.87,0.37,3.43,12,1.28,87,2,2
2.79,3.39,2.9,625,0.8,20,1.83,0.32,2.4,11.45,3.25,96,2.42,2
5.08,3.69,3.18,465,0.93,28.5,1.87,0.47,2.05,11.56,6,119,3.23,2
2.13,3.12,2.2,365,0.92,26.5,1.71,0.43,4.43,12.42,2.08,102,2.73,2
2.65,3.1,2.62,380,0.73,21.5,2.01,0.3,5.8,13.05,2.6,86,2.13,2
3.03,3.64,2.86,380,0.75,21,2.91,0.21,4.31,11.87,2.8,82,2.39,2
2.65,3.28,2.6,378,0.86,21,1.35,0.37,2.16,12.07,2.76,85,2.17,2
3.15,2.84,2.74,352,0.69,21.5,1.77,0.39,1.53,12.43,3.94,86,2.29,2
2.24,2.44,2.13,466,0.97,28.5,1.76,0.58,2.13,11.79,3,92,2.78,2
2.45,2.78,2.22,342,0.89,24.5,1.9,0.4,1.63,12.37,2.12,88,2.3,2
1.75,2.57,2.1,580,0.79,22,1.35,0.42,4.3,12.04,2.6,80,2.38,2
1.25,1.29,1.51,630,0.76,18,0.94,0.21,1.35,12.86,4.1,122,2.32,3
1.22,1.42,1.3,530,0.74,20,0.83,0.24,2.99,12.88,5.4,104,2.4,3
1.09,1.36,1.15,560,0.66,24,0.83,0.27,2.31,12.81,5.7,98,2.4,3
1.2,1.29,1.7,600,0.78,21.5,0.84,0.17,3.55,12.7,5,106,2.36,3
0.58,1.51,2,650,0.75,17.5,1.25,0.6,1.24,12.51,5.45,85,2.25,3
0.66,1.58,1.62,695,0.73,18.5,0.94,0.63,2.46,12.6,7.1,94,2.2,3
0.47,1.27,1.38,720,0.75,21,0.8,0.53,4.72,12.25,3.85,89,2.54,3
0.6,1.69,1.79,515,0.82,25,1.1,0.63,5.51,12.53,5,96,2.64,3
0.48,1.82,1.62,580,0.81,19.5,0.88,0.58,3.59,13.49,5.7,88,2.19,3
0.6,2.15,2.32,590,0.89,24,0.81,0.53,2.96,12.84,4.92,101,2.61,3
0.5,2.31,1.54,600,0.77,21,0.75,0.53,2.81,12.93,4.6,96,2.7,3
0.5,2.47,1.4,780,0.7,20,0.64,0.37,2.56,13.36,5.6,89,2.35,3
0.52,2.06,1.55,520,0.89,23.5,0.55,0.5,3.17,13.52,4.35,97,2.72,3
0.8,2.05,2,550,0.91,20,1.02,0.47,4.95,13.62,4.4,92,2.35,3
0.78,2,1.38,855,0.65,18.5,1.14,0.29,3.88,12.25,8.21,112,2.2,3
0.55,1.68,1.5,830,0.6,21,1.3,0.43,3.57,13.16,4,102,2.15,3
0.34,1.33,0.98,415,0.58,20,0.68,0.4,5.04,13.88,4.9,80,2.23,3
0.65,1.86,1.7,625,0.54,21.5,0.86,0.47,4.61,12.87,7.65,86,2.48,3
0.76,1.62,1.93,650,0.55,21.5,1.25,0.45,3.24,13.32,8.42,92,2.38,3
1.39,1.33,1.41,550,0.57,21.5,1.14,0.34,3.9,13.08,9.4,113,2.36,3
1.57,1.3,1.4,500,0.59,24,1.25,0.22,3.12,13.5,8.6,123,2.62,3
1.36,1.47,1.48,480,0.48,22,1.26,0.24,2.67,12.79,10.8,112,2.48,3
1.28,1.33,2.2,425,0.61,25.5,1.56,0.26,1.9,13.11,7.1,116,2.75,3
0.83,1.51,1.8,675,0.56,18.5,1.87,0.61,3.3,13.23,10.52,98,2.28,3
0.58,1.55,1.48,640,0.58,20,1.4,0.53,1.29,12.58,7.6,103,2.1,3
0.63,1.48,1.74,725,0.6,22,1.55,0.61,5.19,13.17,7.9,93,2.32,3
0.83,1.64,1.8,480,0.57,19.5,1.56,0.48,4.12,13.84,9.01,89,2.38,3
0.58,1.73,1.9,880,0.67,27,1.14,0.63,3.03,12.45,7.5,97,2.64,3
1.31,1.96,2.8,660,0.57,25,2.7,0.53,1.68,14.34,13,98,2.7,3
1.1,1.78,2.6,620,0.57,22.5,2.29,0.52,1.67,13.48,11.75,89,2.64,3
0.92,1.58,2.3,520,0.56,21,1.04,0.5,3.83,12.36,7.65,88,2.38,3
0.56,1.82,1.83,680,0.96,20,0.8,0.5,3.26,13.69,5.88,107,2.54,3
0.6,2.11,1.65,570,0.87,22,0.96,0.6,3.27,12.85,5.58,106,2.58,3
0.7,1.75,1.39,675,0.68,18.5,0.94,0.4,3.45,12.96,5.28,106,2.35,3
0.68,1.68,1.35,615,0.7,22,1.03,0.41,2.76,13.78,9.58,90,2.3,3
0.47,1.75,1.28,520,0.78,22.5,1.15,0.52,4.36,13.73,6.62,88,2.26,3
0.92,1.56,1.7,695,0.85,23,1.46,0.43,3.7,13.45,10.68,111,2.6,3
0.66,1.75,1.48,685,0.72,19.5,0.97,0.4,3.37,12.82,10.26,88,2.3,3
0.84,1.8,1.55,750,0.74,24.5,1.54,0.39,2.58,13.58,8.66,105,2.69,3
0.96,1.92,1.98,630,0.67,25,1.11,0.27,4.6,13.4,8.5,112,2.86,3
0.49,1.83,1.25,510,0.66,19,0.73,0.4,3.03,12.2,5.5,96,2.32,3
0.51,1.63,1.39,470,0.57,19.5,0.64,0.48,2.39,12.77,9.899999,86,2.28,3
0.7,1.71,1.68,660,0.62,20,1.24,0.44,2.51,14.16,9.7,91,2.48,3
0.61,1.74,1.68,740,0.64,20.5,1.06,0.52,5.65,13.71,7.7,95,2.45,3
0.75,1.56,1.8,750,0.7,23,1.41,0.43,3.91,13.4,7.3,102,2.48,3
0.69,1.56,1.59,835,0.59,20,1.35,0.43,4.28,13.27,10.2,120,2.26,3
0.68,1.62,1.65,840,0.6,20,1.46,0.53,2.59,13.17,9.3,120,2.37,3
0.76,1.6,2.05,560,0.61,24.5,1.35,0.56,4.1,14.13,9.2,96,2.74,3
